question,answer
"freeze data 199 from 17734855, reverse to 17853188","Thanks for reporting this. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4g activated on 17615073,"We hear you, and we are here to help. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
make apn setting on phone,"Thanks for reporting this. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Inquiry to share data, informed that data cannot be shared to one another","Sorry this happened. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4G refresh from here.,"We hear you, and we are here to help. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"He cant hear me,.","Sorry this happened. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
e sim not reading enquiry,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"New sim not activated, informed to visit counter","Thanks for reporting this. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Postpaid package enquiry,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Esim issue sim reset,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Inquiry about sim status,"Thanks for reporting this. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Dont know how to download My BT APP.customer will call back,"Sorry this happened. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Bill payment through bngul. Informed him to change her mpin.,"Sorry this happened. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"3g refreshed, call back to informed upgrade to 4g sim but call no going","We understand your concern. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Sim number 17803847 blocked as per customer as he says its not secure to use the sim thats why he want to keep blocked,"We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Informed her/him to dial *180# and to switch off and on for the installed mode sim 17592720 .,"We hear you, and we are here to help. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
After downloading My BT App.customer will call back,"We appreciate you bringing this to our attention. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
sim number 17619063 is given to new customer,"We understand your concern. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Informed to download my bt app,We understand your concern. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
17673793 Sim number is expired and informed her.,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Voucher to data convert,"Apologies for the disruption. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Recommended my bt app to convert balance to data,"Sorry this happened. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
4g activated on 17316376,"We understand this can be frustrating. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"credit expired for the voucher, so informed her to recharge the voucher.","Thanks for reporting this. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"Sim issue,.told to replace","Thanks for reporting this. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Fixedline bill enquiry,"We appreciate you bringing this to our attention. Our team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Reverse the mention amount on given BOB account number.,"Apologies for the disruption. We have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
"Sim issue,told to replace","We regret the trouble caused. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
4g activated on 17806175,We appreciate you bringing this to our attention. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
Sim Damaged.,"Thank you for your patience. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"17955517 Your current sim is 3g, so to upgrade 4g you need to visit nearest telecom counter and replace 4G sim.","Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
sim got deactivated,"We understand this can be frustrating. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Mailed to unblock BT app,"We regret the trouble caused. Our mobile support team has reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Informed to try by chagnging network mode,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"SInissue.,allg ood fromhere,.Zrg","Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4g refres,"We regret the trouble caused. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"Talktimeto data convert inquiry,","We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Source : MBOB Acct no : 200165895 Mobile : 17377385 Mobile recharged to : 17638703 Amt Recharged : 1000 Amt to be reverse: 900 Recharge date : 06.10.2025,"Thanks for reporting this. Support has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Data balance inquiry,"We regret the trouble caused. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
check apn setting on phone,"Thank you for your patience. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about data reversal,"Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
New lease connection inquiry,"Apologies for the disruption. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
enquiring on mbob short code,"Apologies for the disruption. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim number 17355866 is expired,"We regret the trouble caused. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
voucher available,"Apologies for the disruption. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Talktime finished,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Used in Facebook Video and Tiktok,"Your concern is valid, and we are checking it now. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Freebies enquiry,"We understand your concern. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
New sim recaharge issue,"We appreciate you bringing this to our attention. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"visit counter for sim replacement , for data notification once check , i have reset sms from here","We regret the trouble caused. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
BT app information,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Data usage details,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Barred due to bill pending,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"sim issue.,told to replace","We hear you, and we are here to help. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
esiminquiry,"Apologies for the disruption. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
data was used,"We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Customer voice not clear,"We appreciate you bringing this to our attention. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
outgoing not working.informed to restart phone and tey.call back if still not working,"Apologies for the disruption. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Leasedline issue .informed our team are restoring the fiber damaged due to rain,We appreciate you bringing this to our attention. Our internet support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
"talk time deduction yet not updated on ecms , so call us later","We understand this can be frustrating. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
QUIC obfuscated,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
enquiring on Sim location for lost phone,"We understand this can be frustrating. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
4 G refreshed.,"Thanks for reporting this. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Recommended my bt app to convert ba;lance to data,"We understand your concern. For mobile service, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
outgoing call issue switch say she will do reset after few mins as there are bossy coz of net down,"We understand this can be frustrating. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
incoming call for 17650290 not working .informed number is suspended.,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
previous number info,"Thank you for your patience. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
weekends pack info,"Thanks for reporting this. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Amount reversal Mbob(210749336,Tshering Tshering) Recharged no-17355357 Reverse Amount-Nu.500 Transfer date-06th Oct","We understand your concern. We have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Number provided for Tcell inquiry,"We regret the trouble caused. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about my bt app,"Sorry this happened. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
informed data usage n call got dropped,"Thanks for reporting this. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"To upgrade 4g, infomred to replace sim for 4g from nearest counter","Sorry this happened. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Informed about data deduction details,"We appreciate you bringing this to our attention. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
shown way how to convert talk time to data from bt app,"Thanks for reporting this. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
bt app password info,"Apologies for the disruption. For mobile service, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Call no response from customer,"Thank you for your patience. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Data usage enquiry,"Thank you for your patience. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"reset 3g, gone off","Your concern is valid, and we are checking it now. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
My BT App .informed to try registering using different password,"Apologies for the disruption. Our mobile support team has reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
4g refreshed on 17736608,"We understand your concern. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
enquiring on E sim registration,"We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Data adjsut request was made to inactive number, emailed bcrm","Apologies for the disruption. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
5g reactivated,"We understand this can be frustrating. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
net down at samtse kopche,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Lease line new connection inquiry.,"We understand this can be frustrating. Our internet support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
data to voucher conversion info,"We hear you, and we are here to help. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
HTTPS 284.03 MB Quic Obfuscated 687.01 KB Office 365 492.56 KB Facebook Video 425.44 KB 06-10-2025 Facebook Video 339.4 MB Quic Obfuscated 91.03 MB HTTPS 86.14 MB Facebook 37.6 MB,"Apologies for the disruption. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17232953 Sim is deactivated and informed her.,"Thank you for your patience. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
apn sitting guided,"We understand this can be frustrating. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17990048-sim enquiry.Inform its 3g sim and inform to upgrade to 4g from BT counter,We regret the trouble caused. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
"freeze data 99 from 17435383, reverse to 17350630","We hear you, and we are here to help. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
we have freeze data 699 from 17370707 please transfer to 17819165,"Apologies for the disruption. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Informed to Phurba Dorji,"Apologies for the disruption. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Dipendra Neopaney_17501346|2Mbps|5.13781-Finre issue Location-Near Hotel white Tara Customers no-17501346,"Apologies for the disruption. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
vivo phone stock enquiry,"Apologies for the disruption. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Access details was block (reviewed details) and activated as per the customer's request. The MPIN was also reset.,"Sorry this happened. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Silent call dropped by the caller.,Thank you for your patience. Our team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
call Drop can hear anything,Thanks for reporting this. We have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
enquiry abt bill paymnet,"Sorry this happened. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Leasedline fiber down.informed our team is working it,"We understand your concern. For your connection concern, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
net issue ..activated 3g,"Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
i have inform to gelephug techinical person,"Thank you for your patience. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
New Leasedline enquiring,"Thanks for reporting this. For internet service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
e sim not working,"We appreciate you bringing this to our attention. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
new line installation enquery,"Apologies for the disruption. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17501130-sim blocked by onwer#17888523(sim was used by her fren),"Thank you for your patience. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
sms refreshed,"We understand this can be frustrating. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
b tapp information,"Thanks for reporting this. Our mobile support team has reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
E-SIM enquiry.,"Thank you for your patience. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Dear Sir, Received network issue ( both data and call ) complain from 17711906 at Dochula la. As per the customer, most of them started using Tashi cell la. Contact Number : 77450211 Thanking you",We regret the trouble caused. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
He is going to get back to us with sim number.,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Test by Ugyen,"We hear you, and we are here to help. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim activation enq,"Thank you for your patience. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"sim issue , suggested replacement","We appreciate you bringing this to our attention. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Sim intsalled mode,"Apologies for the disruption. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Talktime to data change,"We regret the trouble caused. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"OPTIC FIBER CABLES RUNNING TOWARDS SUNDAY MARKET AREA, CHANGLAM AREA,HAVE BEEN DAMAGED BY RECENT CHUBACHU FLOOD.CANS TEAM IS REPLACING CABLES AND EXPECTED TO COMPLETE WITHIN 2 TO 3DAYS PERIOD. Informed the customer.","Your concern is valid, and we are checking it now. Regarding your internet issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"from bt app she recharge 500,when i checked balance is there but she cant convert data from that money","Thanks for reporting this. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
giving network issue all the time,Thank you for your patience. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
forwarded the mail,"We hear you, and we are here to help. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
ISP010862 customer-4.6560 Location-Above Hotel river view. Customer no-17620808,"We understand this can be frustrating. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Location : RBA Pre School, Lungtenphu. Contact Number : 17996999 Lease line : ISP012280/4.8077 RBA PRE SCHOOL _17421130|5Mbps|4.8077 | As per the customer there is cable cut.","We understand your concern. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Data transfer from bngul balance not working.informed to reset m pin n try,"We appreciate you bringing this to our attention. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim retention enquiry,"Thanks for reporting this. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
sim activation enquiry.,"Thank you for your patience. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
4g unknown,"We hear you, and we are here to help. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
17735592-sim issue.Its active from here.,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Payment inquiry,"Thank you for your patience. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"Regarding mobile postpaid sim retention inquiry, Provided him with customercare@bt.bt for further assistance.","We understand this can be frustrating. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
LL info,"Your concern is valid, and we are checking it now. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
No details founf for the recharge of nu.999 on dated 07.10.2025 for 97517909002.,"We hear you, and we are here to help. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
potable wifi inquire,"We hear you, and we are here to help. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"freeze data 999 from 17240889, reverse to 17423550","Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Outgoing call issue, informed him that the main balance is zero and asked him to recharge.","We understand your concern. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"17573041-Outgoing call issue, informed him that the main balance is zero and asked him to recharge./4g refreshed","We understand this can be frustrating. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
pass to domain section,"We appreciate you bringing this to our attention. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
informed sim owner to call for sim unsuspension,"Thank you for your patience. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Bill enquiry.,"Your concern is valid, and we are checking it now. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
17423909-4g refreshed,We regret the trouble caused. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
Number provided him.,"We understand your concern. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
leased line issue lineman number given,"Thank you for your patience. For your connection concern, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
16102226-sim is not activated.Inform to talk with dealer,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Customer will pay leasedline bill and call back for reconnection ISP019301.,"Apologies for the disruption. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
bank sms enquiry,"We hear you, and we are here to help. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Refresh 4G from here.,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
puk given,"We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Leasedline reconnection mail sent,"Thank you for your patience. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17468529 Informed her/him to insert in other hand set and to check as it is active in the system if not to replace the sim from the nearest BT counter.,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Talktime to Data covert,"We understand your concern. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
9752336065 and 9752337100-Line dead Location-( PMO office) Langjophaka Customers no-17436860,"We regret the trouble caused. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Leasedline issue 4.8468 Changangkha 17800792,"We understand this can be frustrating. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Passport ready enquiry. Passport office number provided,"Thanks for reporting this. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17444226-Provided with puk no,"Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
To convert main balance into data package you need to download My BT app from play store. Then you need to click to register for BT app. Thank you.,"Thank you for your patience. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
freebird enquiry,"We appreciate you bringing this to our attention. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim unblock as back to bhutan from Australia,"We understand your concern. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"17753419, sim inquiry","We appreciate you bringing this to our attention. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Telegram 661.29 MB GoogleServices 4.03 MB Quic Obfuscated 2.38 MB Facebook Video 1.52 MB Balance deductions due to these apps,"Your concern is valid, and we are checking it now. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Outgoing and incoming call issue:17753419 Location Trongsa Call receive: 77953419,"Thanks for reporting this. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
he will call back with cust.code or isp,"We regret the trouble caused. Regarding your internet issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
vivo phone inquire,"We understand your concern. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"Network issue at dechecholing, samtse radio issue","We appreciate you bringing this to our attention. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
